query,response
headache,"Headache (journal) ... Headache: The Journal of Head and Face Pain is a peer-reviewed medical journal covering all aspects of head and face pain. It is the ...
Link: https://en.wikipedia.org/wiki/Headache_(journal)"
headache,"Vascular headache ... A vascular headache is an outdated term to describe certain types of headache which were thought to be related to blood vessel swelling and ...
Link: https://en.wikipedia.org/wiki/Vascular_headache"
cough,"Cough · A cough is a sudden expulsion of air through the large breathing passages which can help clear them of fluids, irritants, foreign particles and microbes ...
Link: https://en.wikipedia.org/wiki/Cough"
cough,"Whooping cough ... Whooping cough (/ˈhuːpɪŋ/ or /ˈwuːpɪŋ/), also known as pertussis or the 100-day cough, is a highly contagious, vaccine-preventable bacterial ...
Link: https://en.wikipedia.org/wiki/Whooping_cough"
cough,"Cough medicine often contains cough suppressants and expectorants. Other names, Cough and cold medicine, cough syrup, lin, lean. [edit on Wikidata]. While they ...
Link: https://en.wikipedia.org/wiki/Cold_medicine"
cough,"Diagnosis · Upper airway cough syndrome is the most common cause of chronic coughing. It is diagnosed when the secretion of excess mucus from the nose or sinus ...
Link: https://en.wikipedia.org/wiki/Chronic_cough"
cough,"Cough Cough ... ""Cough Cough"" is a song from British indie pop band Everything Everything. The track was released in the United Kingdom on 14 October 2012 as the ...
Link: https://en.wikipedia.org/wiki/Cough_Cough"
cough,"Lean or purple drank is a polysubstance drink used as a recreational drug. It is prepared by mixing prescription-grade cough or cold syrup containing an ...
Link: https://en.wikipedia.org/wiki/Lean_(drug)"
cough,"Cough reflex ... The cough reflex occurs when stimulation of cough receptors in the respiratory tract by dust or other foreign particles produces a cough, which ...
Link: https://en.wikipedia.org/wiki/Cough_reflex"
cough,"cough drop, sore throat sweet, troche, cachou, pastille or cough sweet) is a small, typically medicated tablet intended to be dissolved slowly in the mouth ...
Link: https://en.wikipedia.org/wiki/Throat_lozenge"
cough,"""Cough/Cool"" is the first single released by the horror punk band the Misfits. It was released in August 1977 on singer Glenn Danzig's label Blank Records.
Link: https://en.wikipedia.org/wiki/Cough/Cool"
cough,"Kennel cough is so named because the infection can spread quickly among dogs in the close quarters of a kennel or animal shelter.
Link: https://en.wikipedia.org/wiki/Kennel_cough"
malaria,"Human malaria causes symptoms that typically include fever, fatigue, vomiting, and headaches. [1] [8] In severe cases, it can cause jaundice, seizures, coma, ...
Link: https://en.wikipedia.org/wiki/Malaria"
malaria,"Malaria! ... Malaria! was a German experimental electronic band from West Berlin, formed in 1981 by Gudrun Gut and Bettina Köster following the dissolution of ...
Link: https://en.wikipedia.org/wiki/Malaria!"
malaria,"Incidence and distribution of the disease (""malaria burden"") is expected to remain high, globally, for many years to come; moreover, known antimalarial drugs ...
Link: https://en.wikipedia.org/wiki/Antimalarial_medication"
malaria,"History of malaria ... The history of malaria extends from its prehistoric origin as a zoonotic disease in the primates of Africa through to the 21st century. A ...
Link: https://en.wikipedia.org/wiki/History_of_malaria"
malaria,"Malaria vaccines are vaccines that prevent malaria, a mosquito-borne infectious disease which affected an estimated 249 million people globally in 85 malaria ...
Link: https://en.wikipedia.org/wiki/Malaria_vaccine"
malaria,"Avian malaria ... Avian malaria is a parasitic disease of birds, caused by parasite species belonging to the genera Plasmodium and Hemoproteus (phylum Apicomplexa ...
Link: https://en.wikipedia.org/wiki/Avian_malaria"
malaria,"In 2022, some 249 million cases of malaria worldwide resulted in an estimated 608,000 deaths, with 80 percent being 5 years old or less. Nearly all malarial ...
Link: https://en.wikipedia.org/wiki/Plasmodium_falciparum"
malaria,"The Global Fund is the world's largest financier of AIDS, TB, and malaria prevention, treatment, and care programs.
Link: https://en.wikipedia.org/wiki/The_Global_Fund_to_Fight_AIDS,_Tuberculosis_and_Malaria"
malaria,"The President's Malaria Initiative (PMI) is a U.S. Government initiative to control and eliminate malaria, one of the leading global causes of premature death ...
Link: https://en.wikipedia.org/wiki/President%27s_Malaria_Initiative"
malaria,"Malaria No More ... Malaria No More is a nonprofit organization that seeks to eradicate malaria. The organization has offices in the United States, as well as ...
Link: https://en.wikipedia.org/wiki/Malaria_No_More"
tuberculosis,"Tuberculosis generally affects the lungs, but it can also affect other parts of the body. ... Most infections show no symptoms, in which case it is known as ...
Link: https://en.wikipedia.org/wiki/Tuberculosis"
tuberculosis,"tb), also known as Koch's bacillus, is a species of pathogenic bacteria in the family Mycobacteriaceae and the causative agent of tuberculosis. ... First ...
Link: https://en.wikipedia.org/wiki/Mycobacterium_tuberculosis"
tuberculosis,"Even if researchers theorise that humans first acquired it in Africa about 5,000 years ago, there is evidence that the first tuberculosis infection happened ...
Link: https://en.wikipedia.org/wiki/History_of_tuberculosis"
tuberculosis,"Everything Is Tuberculosis ... Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection is an upcoming book by American author John ...
Link: https://en.wikipedia.org/wiki/Everything_Is_Tuberculosis"
tuberculosis,"Its name comes from a distinctive pattern seen on a chest radiograph of many tiny spots distributed throughout the lung fields with the appearance similar to ...
Link: https://en.wikipedia.org/wiki/Miliary_tuberculosis"
tuberculosis,"Mycobacterium bovis is a slow-growing (16- to 20-hour generation time) aerobic bacterium and the causative agent of tuberculosis in cattle (known as bovine ...
Link: https://en.wikipedia.org/wiki/Mycobacterium_bovis"
tuberculosis,"A complete medical evaluation for tuberculosis (TB) must include a medical history, a physical examination, a chest X-ray and microbiological examination (of ...
Link: https://en.wikipedia.org/wiki/Diagnosis_of_tuberculosis"
tuberculosis,"The Bacillus Calmette–Guérin (BCG) vaccine is a vaccine primarily used against tuberculosis (TB). It is named after its inventors Albert Calmette and ...
Link: https://en.wikipedia.org/wiki/BCG_vaccine"
tuberculosis,"... tuberculosis; it was the first institution of its kind. ... Hällnäs sanatorium, founded in 1926, was one of the largest sanatoriums in Sweden for the treatment of ...
Link: https://en.wikipedia.org/wiki/Sanatorium"
tuberculosis,"The WHO as well as the Stop TB Partnership aim for the full elimination of TB by 2050—requiring a 1000-fold reduction in tuberculosis incidence. ... As of 2017, ...
Link: https://en.wikipedia.org/wiki/Elimination_of_tuberculosis"
cancer,"Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body. ... These contrast with benign ...
Link: https://en.wikipedia.org/wiki/Cancer"
cancer,"Cancer is a medium-size constellation with an area of 506 square degrees and its stars are rather faint, its brightest star Beta Cancri having an apparent ...
Link: https://en.wikipedia.org/wiki/Cancer_(constellation)"
cancer,"The fourth astrological sign in the zodiac, originating from the constellation of Cancer. It spans from 90° to 120° celestial longitude.
Link: https://en.wikipedia.org/wiki/Cancer_(astrology)"
cancer,"Signs of breast cancer may include a lump in the breast, a change in breast shape, dimpling of the skin, milk rejection, fluid coming from the nipple.
Link: https://en.wikipedia.org/wiki/Breast_cancer"
cancer,"Pancreatic cancer arises when cells in the pancreas, a glandular organ behind the stomach, begin to multiply out of control and form a mass. These cancerous ...
Link: https://en.wikipedia.org/wiki/Pancreatic_cancer"
cancer,"Colorectal cancer (CRC), also known as bowel cancer, colon cancer, or rectal cancer, is the development of cancer from the colon or rectum (parts of the large ...
Link: https://en.wikipedia.org/wiki/Colorectal_cancer"
cancer,"Lung cancer is caused by genetic damage to the DNA of cells in the airways, often caused by cigarette smoking or inhaling damaging chemicals. Damaged airway ...
Link: https://en.wikipedia.org/wiki/Lung_cancer"
cancer,"Prostate cancer ... Prostate cancer is the uncontrolled growth of cells in the prostate, a gland in the male reproductive system below the bladder. Abnormal ...
Link: https://en.wikipedia.org/wiki/Prostate_cancer"
cancer,"Epithelial ovarian carcinoma is the most common type of ovarian cancer, comprising more than 95% of cases. ... There are five main subtypes of ovarian carcinoma, ...
Link: https://en.wikipedia.org/wiki/Ovarian_cancer"
cancer,"Esophageal cancer ... Esophageal cancer is cancer arising from the esophagus—the food pipe that runs between the throat and the stomach. ... Symptoms often include ...
Link: https://en.wikipedia.org/wiki/Esophageal_cancer"
COVID-19,"The symptoms of COVID‑19 are variable but often include fever, fatigue, cough, breathing difficulties, loss of smell, and loss of taste. ... Symptoms may begin ...
Link: https://en.wikipedia.org/wiki/COVID-19"
COVID-19,"It spread to other areas of Asia, and then worldwide in early 2020. The World Health Organization (WHO) declared the outbreak a public health emergency of ...
Link: https://en.wikipedia.org/wiki/COVID-19_pandemic"
COVID-19,"The COVID-19 pandemic ranks as the deadliest disaster in the country's history. [43] It was the third-leading cause of death in the US in 2020, behind heart ...
Link: https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_States"
COVID-19,"The virus began circulating in the country in early 2020, arriving primarily from travel elsewhere in Europe. ... Various sectors responded, with more widespread ...
Link: https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_Kingdom"
COVID-19,"The first cases of COVID-19 in India were reported on 30 January 2020 in three towns of Kerala, among three Indian medical students who had returned from Wuhan, ...
Link: https://en.wikipedia.org/wiki/COVID-19_pandemic_in_India"
COVID-19,"The initial focus of SARS-CoV-2 vaccines was on preventing symptomatic, often severe, illness. ... In 2020, the first COVID‑19 vaccines were developed and made ...
Link: https://en.wikipedia.org/wiki/COVID-19_vaccine"
COVID-19,"Lockdowns (encompassing stay-at-home orders, curfews, quarantines, cordons sanitaires and similar societal restrictions), were implemented in numerous ...
Link: https://en.wikipedia.org/wiki/COVID-19_lockdowns"
COVID-19,"Usage. This template provides automatically updated numbers on the COVID-19 pandemic's confirmed cases and deaths. It is used on Portal:COVID-19.
Link: https://en.wikipedia.org/wiki/Template:COVID-19_pandemic_data"
COVID-19,"The recession began in most countries in February 2020. After a year of global economic slowdown that saw stagnation of economic growth and consumer activity, ...
Link: https://en.wikipedia.org/wiki/COVID-19_recession"
COVID-19,"As of July 2021, the highest numbers of deaths are recorded in India, Indonesia, Iran, and Turkey, each with more than 90,000 deaths and more than 900,000 ...
Link: https://en.wikipedia.org/wiki/COVID-19_pandemic_by_country_and_territory"
pneumonia,"Pneumonia is an inflammatory condition of the lung primarily affecting the small air sacs known as alveoli. ... Symptoms typically include some combination of ...
Link: https://en.wikipedia.org/wiki/Pneumonia"
pneumonia,"Adams chose the album title Pneumonia for symbolic reasons. He felt it reflected the album's themes of being lovesick and succumbing to love. Plus, he saw the ...
Link: https://en.wikipedia.org/wiki/Pneumonia_(album)"
pneumonia,"Bacterial pneumonia is a type of pneumonia caused by bacterial infection.
Link: https://en.wikipedia.org/wiki/Bacterial_pneumonia"
pneumonia,"Pneumocystis pneumonia ... Not to be confused with Pneumococcal pneumonia. Pneumocystis pneumonia (PCP), also known as Pneumocystis jirovecii pneumonia (PJP), is ...
Link: https://en.wikipedia.org/wiki/Pneumocystis_pneumonia"
pneumonia,"Community-acquired pneumonia ... Community-acquired pneumonia (CAP) refers to pneumonia (any of several lung diseases) contracted by a person outside of the ...
Link: https://en.wikipedia.org/wiki/Community-acquired_pneumonia"
pneumonia,"Atypical pneumonia ... Atypical pneumonia, also known as walking pneumonia, is any type of pneumonia not caused by one of the pathogens most commonly associated ...
Link: https://en.wikipedia.org/wiki/Atypical_pneumonia"
pneumonia,"Mycoplasma pneumonia ... Mycoplasma pneumonia is a form of bacterial pneumonia caused by the bacterium Mycoplasma pneumoniae. Mycoplasma pneumonia. Specialty ...
Link: https://en.wikipedia.org/wiki/Mycoplasma_pneumonia"
pneumonia,"Aspiration pneumonia is a type of lung infection that is due to a relatively large amount of material from the stomach or mouth entering the lungs. ... Signs and ...
Link: https://en.wikipedia.org/wiki/Aspiration_pneumonia"
pneumonia,"Lipid pneumonia ... Lipid pneumonia is a specific form of lung inflammation (pneumonia) that develops when lipids enter the bronchial tree. The disorder is ...
Link: https://en.wikipedia.org/wiki/Lipid_pneumonia"
pneumonia,"Bronchopneumonia is a subtype of pneumonia. It is the acute inflammation of the bronchi, accompanied by inflamed patches in the nearby lobules of the lungs.
Link: https://en.wikipedia.org/wiki/Bronchopneumonia"
diabetes,"Diabetes mellitus, often known simply as diabetes, is a group of common endocrine diseases characterized by sustained high blood sugar levels. ... Diabetes is due ...
Link: https://en.wikipedia.org/wiki/Diabetes"
diabetes,"Type 2 diabetes (T2D), formerly known as adult-onset diabetes, is a form of diabetes mellitus that is characterized by high blood sugar, insulin resistance, and ...
Link: https://en.wikipedia.org/wiki/Type_2_diabetes"
diabetes,"Type 1 diabetes (T1D), formerly known as juvenile diabetes, is an autoimmune disease that occurs when pancreatic cells (beta cells) are destroyed by the body's ...
Link: https://en.wikipedia.org/wiki/Type_1_diabetes"
diabetes,"The condition is treatable and need not shorten the animal's life span or interfere with the quality of life. ... If left untreated, the condition can lead to ...
Link: https://en.wikipedia.org/wiki/Diabetes_in_dogs"
diabetes,"Diabetes is less common in cats than in dogs. The condition is treatable, and if treated properly the cat can experience a normal life expectancy. In cats with ...
Link: https://en.wikipedia.org/wiki/Diabetes_in_cats"
diabetes,"Gestational diabetes is a condition in which a woman without diabetes develops high blood sugar levels during pregnancy. ... Gestational diabetes generally ...
Link: https://en.wikipedia.org/wiki/Gestational_diabetes"
diabetes,"Prediabetes is a component of metabolic syndrome and is characterized by elevated blood sugar levels that fall below the threshold to diagnose diabetes ...
Link: https://en.wikipedia.org/wiki/Prediabetes"
diabetes,"Diabetes Care ... Diabetes Care is a monthly peer-reviewed medical journal published since 1978 by the American Diabetes Association. The journal covers research ...
Link: https://en.wikipedia.org/wiki/Diabetes_Care"
diabetes,"Diabetic ketoacidosis (DKA) is a potentially life-threatening complication of diabetes mellitus. ... Signs and symptoms may include vomiting, abdominal pain, deep ...
Link: https://en.wikipedia.org/wiki/Diabetic_ketoacidosis"
diabetes,"If the pregnant woman has diabetes as a pre-existing disorder, it can cause early labor, birth defects, and larger than average infants. Therefore, experts ...
Link: https://en.wikipedia.org/wiki/Diabetes_and_pregnancy"
cold,"Cold War (1979–85) · The period in the late 1970s and early 1980s showed an intensive reawakening of Cold War tensions and conflicts. · In April 1978, the ...
Link: https://en.wikipedia.org/wiki/Cold_War"
cold,"The common cold or the cold is a viral infectious disease of the upper respiratory tract that primarily affects the respiratory mucosa of the nose, throat, ...
Link: https://en.wikipedia.org/wiki/Common_cold"
cold,"In common usage, cold is often a subjective perception. A lower bound to temperature is absolute zero, defined as 0.00 K on the Kelvin scale, an absolute ...
Link: https://en.wikipedia.org/wiki/Cold"
cold,"It would contrast starkly with the ""hot"" fusion that is known to take place naturally within stars and artificially in hydrogen bombs and prototype fusion ...
Link: https://en.wikipedia.org/wiki/Cold_fusion"
cold,"Band members · Scooter Ward – lead vocals, keyboards, rhythm guitar (1986–2006, 2009–present) · Lindsay Manfredi – bass (2014–present) · Tony Kruszka – drums ( ...
Link: https://en.wikipedia.org/wiki/Cold_(band)"
cold,"Cold Mountain (film) ... Cold Mountain is a 2003 epic period war drama film written and directed by Anthony Minghella. The film is based on the bestselling 1997 ...
Link: https://en.wikipedia.org/wiki/Cold_Mountain_(film)"
cold,"Cold front ... For the period of intensely cold and dry weather, see Cold wave. For other uses, see Cold Front. A cold front is the leading edge of a cooler mass ...
Link: https://en.wikipedia.org/wiki/Cold_front"
cold,"Cold dark matter (CDM) is a hypothetical type of dark matter. According to the current standard model of cosmology, Lambda-CDM model, approximately 27% of the ...
Link: https://en.wikipedia.org/wiki/Cold_dark_matter"
cold,"a political rivalry in the Arab world from the early 1950s to the late 1970s and a part of the wider Cold War.
Link: https://en.wikipedia.org/wiki/Arab_Cold_War"
cold,"heightened geopolitical tensions in the 21st century between usually, on one side, the United States and, on the other, either China or Russia.
Link: https://en.wikipedia.org/wiki/Second_Cold_War"
sore throat,"Causes · viral infections · group A streptococcal infection (GAS) bacterial infection · pharyngitis (inflammation of the throat) · tonsillitis (inflammation of ...
Link: https://en.wikipedia.org/wiki/Sore_throat"
sore throat,"Sore Throat were a British crust punk band formed in Huddersfield in 1987. ... They are known for being one of the earliest exponents of the grindcore subgenre ...
Link: https://en.wikipedia.org/wiki/Sore_Throat_(band)"
sore throat,"Streptococcal pharyngitis, also known as streptococcal sore throat (strep throat), is pharyngitis caused by Streptococcus pyogenes, a gram-positive, ...
Link: https://en.wikipedia.org/wiki/Streptococcal_pharyngitis"
sore throat,"Pharyngitis is inflammation of the back of the throat, known as the pharynx. It typically results in a sore throat and fever. Other symptoms may include a ...
Link: https://en.wikipedia.org/wiki/Pharyngitis"
sore throat,"A throat lozenge (also known as a cough drop, sore throat sweet, troche, cachou, pastille or cough sweet) is a small, typically medicated tablet
Link: https://en.wikipedia.org/wiki/Throat_lozenge"
sore throat,"Sore throat, fever, barking cough · Myocarditis, Peripheral neuropathy, Proteinuria · 2–5 days post-exposure · Corynebacterium diphtheriae (spread by direct ...
Link: https://en.wikipedia.org/wiki/Diphtheria"
sore throat,"Death to Capitalist Hardcore is an EP by English grindcore band Sore Throat. It was originally released on 7"" vinyl by Acid Rain Records in early 1988 to a ...
Link: https://en.wikipedia.org/wiki/Death_to_Capitalist_Hardcore"
sore throat,"Throat irritation · Common cold · COVID 19 · Allergy · Laryngitis · Pharyngitis · Epiglottitis · Post-nasal drip · Strep throat.
Link: https://en.wikipedia.org/wiki/Throat_irritation"
sore throat,"The Centor criteria are a set of criteria which may be used to identify the likelihood of a bacterial infection in patients complaining of a sore throat.
Link: https://en.wikipedia.org/wiki/Centor_criteria"
sore throat,"... sore throat, pain with swallowing, and fever. Strep throat does not usually cause a runny nose, voice changes, or cough. Pain and pressure ...
Link: https://en.wikipedia.org/wiki/Upper_respiratory_tract_infection"
flu,"Influenza, commonly known as the flu, is an infectious disease caused by influenza viruses. Symptoms range from mild to severe and often include fever, ...
Link: https://en.wikipedia.org/wiki/Influenza"
flu,"Spanish flu was an exceptionally deadly global influenza pandemic caused by the H1N1 subtype of the influenza A virus.
Link: https://en.wikipedia.org/wiki/Spanish_flu"
flu,"The 2009 H1N1 flu pandemic is estimated to have actually caused about 284,000 (range from 150,000 to 575,000) excess deaths by the WHO-USCDC study and 148,000– ...
Link: https://en.wikipedia.org/wiki/2009_swine_flu_pandemic"
flu,"Influenza activity can sometimes be predicted and even tracked geographically. While the beginning of major flu activity in each season varies by location, in ...
Link: https://en.wikipedia.org/wiki/Flu_season"
flu,"Google Flu Trends ... Google Flu Trends (GFT) was a web service operated by Google. It provided estimates of influenza activity for more than 25 countries. By ...
Link: https://en.wikipedia.org/wiki/Google_Flu_Trends"
flu,"This article is about influenza viruses in pigs. For the 2009 outbreak originating in Mexico, see 2009 swine flu pandemic. For the 2009 human virus, see ...
Link: https://en.wikipedia.org/wiki/Swine_influenza"
flu,"Hong Kong flu ... The Hong Kong flu, also known as the 1968 flu pandemic, was a flu pandemic that occurred in 1968 and 1969 and which killed between one and four ...
Link: https://en.wikipedia.org/wiki/Hong_Kong_flu"
flu,"Influenza vaccines, colloquially known as flu shots or the flu jab, are vaccines that protect against infection by influenza viruses.
Link: https://en.wikipedia.org/wiki/Influenza_vaccine"
flu,"The 2009 swine flu pandemic resulted in under 300,000 deaths and is considered relatively mild. These pandemics occur irregularly. Influenza ward at Walter Reed ...
Link: https://en.wikipedia.org/wiki/Influenza_pandemic"
flu,"Influenza A virus subtype H5N1 (A/H5N1) is a subtype of the influenza A virus, which causes influenza (flu), predominantly in birds.
Link: https://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H5N1"
fever,"Fever ... Not to be confused with hyperthermia. For other uses, see Fever (disambiguation). Fever or pyrexia in humans is a symptom of organism's anti-infection�...
Link: https://en.wikipedia.org/wiki/Fever"
fever,"Yellow fever � Yellow fever is a viral disease of typically short duration. � The disease is caused by the yellow fever virus and is spread by the bite of an�...
Link: https://en.wikipedia.org/wiki/Yellow_fever"
fever,"Typhoid fever, also known simply as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella typhi. ... Symptoms vary�...
Link: https://en.wikipedia.org/wiki/Typhoid_fever"
fever,"""Fever"" is a song written by Eddie Cooley and Otis Blackwell, who used the pseudonym ""John Davenport"". It was originally recorded by American R&B singer Little�...
Link: https://en.wikipedia.org/wiki/Fever_(Little_Willie_John_song)"
fever,"Fever (Kylie Minogue album) � ""Can't Get You Out of My Head"" Released: 8 September 2001 � ""In Your Eyes"" Released: 21 January 2002 � ""Love at First Sight""
Link: https://en.wikipedia.org/wiki/Fever_(Kylie_Minogue_album)"
fever,"Rheumatic fever may occur following an infection of the throat by the bacterium Streptococcus pyogenes. ... If the infection is left untreated, rheumatic fever�...
Link: https://en.wikipedia.org/wiki/Rheumatic_fever"
fever,"Dengue fever ... For other uses, see Dengue fever (disambiguation). Dengue fever is a mosquito-borne disease caused by dengue virus, prevalent in tropical and�...
Link: https://en.wikipedia.org/wiki/Dengue_fever"
fever,"Fever (mixtape) ... Fever is the third and debut commercial mixtape by American rapper Megan Thee Stallion, released on May 17, 2019, via 300 Entertainment and�...
Link: https://en.wikipedia.org/wiki/Fever_(mixtape)"
fever,"Q fever ... Q fever or query fever is a disease caused by infection with Coxiella burnetii, a bacterium that affects humans and other animals. This organism is�...
Link: https://en.wikipedia.org/wiki/Q_fever"
fever,"Allergic rhinitis, of which the seasonal type is called hay fever, is a type of inflammation in the nose that occurs when the immune system overreacts to�...
Link: https://en.wikipedia.org/wiki/Allergic_rhinitis"
headache,"Headache � Headache, also known as cephalalgia, is the symptom of pain in the face, head, or neck. � Headaches can occur as a result of many conditions. There�...
Link: https://en.wikipedia.org/wiki/Headache"
headache,"""Headache"" is a single written and performed by Frank Black. It was the sole single released from his second solo album, Teenager of the Year, released in 1994.
Link: https://en.wikipedia.org/wiki/Headache_(song)"
headache,"Headache (game) � 1 Gameplay and history � 2 Equipment. 2.1 The board; 2.2 Pop-o-matic dice; 2.3 Cones and stacks � 3 References�...
Link: https://en.wikipedia.org/wiki/Headache_(game)"
headache,"Migraine is a genetically-influenced complex neurological disorder characterized by episodes of moderate-to-severe headache, most often unilateral and�...
Link: https://en.wikipedia.org/wiki/Migraine"
headache,"Hypnic headaches are benign primary headaches that affect the elderly, with an average age of onset at 63 � 11 years. ... They are moderate, throbbing, bilateral�...
Link: https://en.wikipedia.org/wiki/Hypnic_headache"
headache,"Cluster headache is a neurological disorder characterized by recurrent severe headaches on one side of the head, typically around the eye(s). ... There is often�...
Link: https://en.wikipedia.org/wiki/Cluster_headache"
headache,"A medication overuse headache (MOH), also known as a rebound headache, usually occurs when painkillers are taken frequently to relieve headaches. ... These cases�...
Link: https://en.wikipedia.org/wiki/Medication_overuse_headache"
headache,"Tension headache ... Tension headache, stress headache, or tension-type headache (TTH), is the most common type of primary headache. The pain usually radiates�...
Link: https://en.wikipedia.org/wiki/Tension_headache"
headache,"Headache (journal) ... Headache: The Journal of Head and Face Pain is a peer-reviewed medical journal covering all aspects of head and face pain. It is the�...
Link: https://en.wikipedia.org/wiki/Headache_(journal)"
headache,"Tense Nervous Headache ... Tense Nervous Headache is the second solo studio album by English singer Boy George, released in October 1988 by Virgin Records. While�...
Link: https://en.wikipedia.org/wiki/Tense_Nervous_Headache"
cough,"Cough � A cough is a sudden expulsion of air through the large breathing passages which can help clear them of fluids, irritants, foreign particles and microbes�...
Link: https://en.wikipedia.org/wiki/Cough"
fever,"Fever ... Not to be confused with hyperthermia. For other uses, see Fever (disambiguation). Fever or pyrexia in humans is a symptom of organism's anti-infection ...
Link: https://en.wikipedia.org/wiki/Fever"
fever,"Yellow fever · Yellow fever is a viral disease of typically short duration. · The disease is caused by the yellow fever virus and is spread by the bite of an ...
Link: https://en.wikipedia.org/wiki/Yellow_fever"
fever,"Typhoid fever, also known simply as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella typhi. ... Symptoms vary ...
Link: https://en.wikipedia.org/wiki/Typhoid_fever"
fever,"""Fever"" is a song written by Eddie Cooley and Otis Blackwell, who used the pseudonym ""John Davenport"". It was originally recorded by American R&B singer Little ...
Link: https://en.wikipedia.org/wiki/Fever_(Little_Willie_John_song)"
fever,"Fever (Kylie Minogue album) · ""Can't Get You Out of My Head"" Released: 8 September 2001 · ""In Your Eyes"" Released: 21 January 2002 · ""Love at First Sight""
Link: https://en.wikipedia.org/wiki/Fever_(Kylie_Minogue_album)"
fever,"Rheumatic fever may occur following an infection of the throat by the bacterium Streptococcus pyogenes. ... If the infection is left untreated, rheumatic fever ...
Link: https://en.wikipedia.org/wiki/Rheumatic_fever"
fever,"Dengue fever ... For other uses, see Dengue fever (disambiguation). Dengue fever is a mosquito-borne disease caused by dengue virus, prevalent in tropical and ...
Link: https://en.wikipedia.org/wiki/Dengue_fever"
