query,response
malaria,"Malaria vaccines are vaccines that prevent malaria, a mosquito-borne infectious disease which affected an estimated 249 million people globally in 85 malaria ...
Link: https://en.wikipedia.org/wiki/Malaria_vaccine"
malaria,"Avian malaria ... Avian malaria is a parasitic disease of birds, caused by parasite species belonging to the genera Plasmodium and Hemoproteus (phylum Apicomplexa ...
Link: https://en.wikipedia.org/wiki/Avian_malaria"
malaria,"In 2022, some 249 million cases of malaria worldwide resulted in an estimated 608,000 deaths, with 80 percent being 5 years old or less. Nearly all malarial ...
Link: https://en.wikipedia.org/wiki/Plasmodium_falciparum"
malaria,"The Global Fund is the world's largest financier of AIDS, TB, and malaria prevention, treatment, and care programs.
Link: https://en.wikipedia.org/wiki/The_Global_Fund_to_Fight_AIDS,_Tuberculosis_and_Malaria"
malaria,"The President's Malaria Initiative (PMI) is a U.S. Government initiative to control and eliminate malaria, one of the leading global causes of premature death ...
Link: https://en.wikipedia.org/wiki/President%27s_Malaria_Initiative"
malaria,"Malaria No More ... Malaria No More is a nonprofit organization that seeks to eradicate malaria. The organization has offices in the United States, as well as ...
Link: https://en.wikipedia.org/wiki/Malaria_No_More"
tuberculosis,"Tuberculosis generally affects the lungs, but it can also affect other parts of the body. ... Most infections show no symptoms, in which case it is known as ...
Link: https://en.wikipedia.org/wiki/Tuberculosis"
tuberculosis,"tb), also known as Koch's bacillus, is a species of pathogenic bacteria in the family Mycobacteriaceae and the causative agent of tuberculosis. ... First ...
Link: https://en.wikipedia.org/wiki/Mycobacterium_tuberculosis"
tuberculosis,"Even if researchers theorise that humans first acquired it in Africa about 5,000 years ago, there is evidence that the first tuberculosis infection happened ...
Link: https://en.wikipedia.org/wiki/History_of_tuberculosis"
tuberculosis,"Everything Is Tuberculosis ... Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection is an upcoming book by American author John ...
Link: https://en.wikipedia.org/wiki/Everything_Is_Tuberculosis"
tuberculosis,"Its name comes from a distinctive pattern seen on a chest radiograph of many tiny spots distributed throughout the lung fields with the appearance similar to ...
Link: https://en.wikipedia.org/wiki/Miliary_tuberculosis"
tuberculosis,"Mycobacterium bovis is a slow-growing (16- to 20-hour generation time) aerobic bacterium and the causative agent of tuberculosis in cattle (known as bovine ...
Link: https://en.wikipedia.org/wiki/Mycobacterium_bovis"
tuberculosis,"A complete medical evaluation for tuberculosis (TB) must include a medical history, a physical examination, a chest X-ray and microbiological examination (of ...
Link: https://en.wikipedia.org/wiki/Diagnosis_of_tuberculosis"
tuberculosis,"The Bacillus Calmette–Guérin (BCG) vaccine is a vaccine primarily used against tuberculosis (TB). It is named after its inventors Albert Calmette and ...
Link: https://en.wikipedia.org/wiki/BCG_vaccine"
tuberculosis,"... tuberculosis; it was the first institution of its kind. ... Hällnäs sanatorium, founded in 1926, was one of the largest sanatoriums in Sweden for the treatment of ...
Link: https://en.wikipedia.org/wiki/Sanatorium"
tuberculosis,"The WHO as well as the Stop TB Partnership aim for the full elimination of TB by 2050—requiring a 1000-fold reduction in tuberculosis incidence. ... As of 2017, ...
Link: https://en.wikipedia.org/wiki/Elimination_of_tuberculosis"
cancer,"Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body. ... These contrast with benign ...
Link: https://en.wikipedia.org/wiki/Cancer"
cancer,"Features · Cancer is the dimmest of the zodiacal constellations, having only two stars above the fourth magnitude. · Also known as Altarf or Tarf, Beta Cancri ...
Link: https://en.wikipedia.org/wiki/Cancer_(constellation)"
cancer,"In astrology, Cancer is the cardinal sign of the Water trigon, which is made up of Cancer, Pisces, and Scorpio. ... It is one of the six negative signs, and its ...
Link: https://en.wikipedia.org/wiki/Cancer_(astrology)"
cancer,"Breast cancer is a cancer that develops from breast tissue. ... Signs of breast cancer may include a lump in the breast, a change in breast shape, dimpling of the ...
Link: https://en.wikipedia.org/wiki/Breast_cancer"
cancer,"Pancreatic cancer arises when cells in the pancreas, a glandular organ behind the stomach, begin to multiply out of control and form a mass. These cancerous ...
Link: https://en.wikipedia.org/wiki/Pancreatic_cancer"
cancer,"Colorectal cancer (CRC), also known as bowel cancer, colon cancer, or rectal cancer, is the development of cancer from the colon or rectum (parts of the large ...
Link: https://en.wikipedia.org/wiki/Colorectal_cancer"
cancer,"Lung cancer is caused by genetic damage to the DNA of cells in the airways, often caused by cigarette smoking or inhaling damaging chemicals. Damaged airway ...
Link: https://en.wikipedia.org/wiki/Lung_cancer"
cancer,"Prostate cancer ... Prostate cancer is the uncontrolled growth of cells in the prostate, a gland in the male reproductive system below the bladder. Abnormal ...
Link: https://en.wikipedia.org/wiki/Prostate_cancer"
cancer,"Epithelial ovarian carcinoma is the most common type of ovarian cancer, comprising more than 95% of cases. ... There are five main subtypes of ovarian carcinoma, ...
Link: https://en.wikipedia.org/wiki/Ovarian_cancer"
cancer,"Esophageal cancer ... Esophageal cancer is cancer arising from the esophagus—the food pipe that runs between the throat and the stomach. ... Symptoms often include ...
Link: https://en.wikipedia.org/wiki/Esophageal_cancer"
COVID-19,"The symptoms of COVID‑19 are variable but often include fever, fatigue, cough, breathing difficulties, loss of smell, and loss of taste. ... Symptoms may begin ...
Link: https://en.wikipedia.org/wiki/COVID-19"
COVID-19,"It spread to other areas of Asia, and then worldwide in early 2020. The World Health Organization (WHO) declared the outbreak a public health emergency of ...
Link: https://en.wikipedia.org/wiki/COVID-19_pandemic"
COVID-19,"The COVID-19 pandemic ranks as the deadliest disaster in the country's history. [43] It was the third-leading cause of death in the US in 2020, behind heart ...
Link: https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_States"
COVID-19,"The virus began circulating in the country in early 2020, arriving primarily from travel elsewhere in Europe. ... Various sectors responded, with more widespread ...
Link: https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_Kingdom"
COVID-19,"The first cases of COVID-19 in India were reported on 30 January 2020 in three towns of Kerala, among three Indian medical students who had returned from Wuhan, ...
Link: https://en.wikipedia.org/wiki/COVID-19_pandemic_in_India"
COVID-19,"The initial focus of SARS-CoV-2 vaccines was on preventing symptomatic, often severe, illness. ... In 2020, the first COVID‑19 vaccines were developed and made ...
Link: https://en.wikipedia.org/wiki/COVID-19_vaccine"
COVID-19,"Lockdowns (encompassing stay-at-home orders, curfews, quarantines, cordons sanitaires and similar societal restrictions), were implemented in numerous ...
Link: https://en.wikipedia.org/wiki/COVID-19_lockdowns"
COVID-19,"Usage. This template provides automatically updated numbers on the COVID-19 pandemic's confirmed cases and deaths. It is used on Portal:COVID-19.
Link: https://en.wikipedia.org/wiki/Template:COVID-19_pandemic_data"
COVID-19,"The recession began in most countries in February 2020. After a year of global economic slowdown that saw stagnation of economic growth and consumer activity, ...
Link: https://en.wikipedia.org/wiki/COVID-19_recession"
COVID-19,"As of July 2021, the highest numbers of deaths are recorded in India, Indonesia, Iran, and Turkey, each with more than 90,000 deaths and more than 900,000 ...
Link: https://en.wikipedia.org/wiki/COVID-19_pandemic_by_country_and_territory"
pneumonia,"Pneumonia is an inflammatory condition of the lung primarily affecting the small air sacs known as alveoli. ... Symptoms typically include some combination of ...
Link: https://en.wikipedia.org/wiki/Pneumonia"
pneumonia,"Adams chose the album title Pneumonia for symbolic reasons. He felt it reflected the album's themes of being lovesick and succumbing to love. Plus, he saw the ...
Link: https://en.wikipedia.org/wiki/Pneumonia_(album)"
pneumonia,"Bacterial pneumonia is a type of pneumonia caused by bacterial infection.
Link: https://en.wikipedia.org/wiki/Bacterial_pneumonia"
pneumonia,"Pneumocystis pneumonia ... Not to be confused with Pneumococcal pneumonia. Pneumocystis pneumonia (PCP), also known as Pneumocystis jirovecii pneumonia (PJP), is ...
Link: https://en.wikipedia.org/wiki/Pneumocystis_pneumonia"
pneumonia,"Community-acquired pneumonia ... Community-acquired pneumonia (CAP) refers to pneumonia (any of several lung diseases) contracted by a person outside of the ...
Link: https://en.wikipedia.org/wiki/Community-acquired_pneumonia"
pneumonia,"Atypical pneumonia ... Atypical pneumonia, also known as walking pneumonia, is any type of pneumonia not caused by one of the pathogens most commonly associated ...
Link: https://en.wikipedia.org/wiki/Atypical_pneumonia"
pneumonia,"Mycoplasma pneumonia ... Mycoplasma pneumonia is a form of bacterial pneumonia caused by the bacterium Mycoplasma pneumoniae. Mycoplasma pneumonia. Specialty ...
Link: https://en.wikipedia.org/wiki/Mycoplasma_pneumonia"
pneumonia,"Aspiration pneumonia is a type of lung infection that is due to a relatively large amount of material from the stomach or mouth entering the lungs. ... Signs and ...
Link: https://en.wikipedia.org/wiki/Aspiration_pneumonia"
pneumonia,"Lipid pneumonia ... Lipid pneumonia is a specific form of lung inflammation (pneumonia) that develops when lipids enter the bronchial tree. The disorder is ...
Link: https://en.wikipedia.org/wiki/Lipid_pneumonia"
pneumonia,"Bronchopneumonia is a subtype of pneumonia. It is the acute inflammation of the bronchi, accompanied by inflamed patches in the nearby lobules of the lungs.
Link: https://en.wikipedia.org/wiki/Bronchopneumonia"
diabetes,"Diabetes mellitus, often known simply as diabetes, is a group of common endocrine diseases characterized by sustained high blood sugar levels. ... Diabetes is due ...
Link: https://en.wikipedia.org/wiki/Diabetes"
diabetes,"Type 2 diabetes (T2D), formerly known as adult-onset diabetes, is a form of diabetes mellitus that is characterized by high blood sugar, insulin resistance, and ...
Link: https://en.wikipedia.org/wiki/Type_2_diabetes"
diabetes,"Type 1 diabetes (T1D), formerly known as juvenile diabetes, is an autoimmune disease that occurs when pancreatic cells (beta cells) are destroyed by the body's ...
Link: https://en.wikipedia.org/wiki/Type_1_diabetes"
diabetes,"The condition is treatable and need not shorten the animal's life span or interfere with the quality of life. ... If left untreated, the condition can lead to ...
Link: https://en.wikipedia.org/wiki/Diabetes_in_dogs"
diabetes,"Diabetes is less common in cats than in dogs. The condition is treatable, and if treated properly the cat can experience a normal life expectancy. In cats with ...
Link: https://en.wikipedia.org/wiki/Diabetes_in_cats"
diabetes,"Gestational diabetes is a condition in which a woman without diabetes develops high blood sugar levels during pregnancy. ... Gestational diabetes generally ...
Link: https://en.wikipedia.org/wiki/Gestational_diabetes"
diabetes,"Prediabetes is a component of metabolic syndrome and is characterized by elevated blood sugar levels that fall below the threshold to diagnose diabetes ...
Link: https://en.wikipedia.org/wiki/Prediabetes"
diabetes,"Diabetes Care ... Diabetes Care is a monthly peer-reviewed medical journal published since 1978 by the American Diabetes Association. The journal covers research ...
Link: https://en.wikipedia.org/wiki/Diabetes_Care"
diabetes,"Diabetic ketoacidosis (DKA) is a potentially life-threatening complication of diabetes mellitus. ... Signs and symptoms may include vomiting, abdominal pain, deep ...
Link: https://en.wikipedia.org/wiki/Diabetic_ketoacidosis"
diabetes,"If the pregnant woman has diabetes as a pre-existing disorder, it can cause early labor, birth defects, and larger than average infants. Therefore, experts ...
Link: https://en.wikipedia.org/wiki/Diabetes_and_pregnancy"
cold,"Cold War (1979–85) · The period in the late 1970s and early 1980s showed an intensive reawakening of Cold War tensions and conflicts. · In April 1978, the ...
Link: https://en.wikipedia.org/wiki/Cold_War"
cold,"The common cold or the cold is a viral infectious disease of the upper respiratory tract that primarily affects the respiratory mucosa of the nose, throat, ...
Link: https://en.wikipedia.org/wiki/Common_cold"
cold,"In common usage, cold is often a subjective perception. A lower bound to temperature is absolute zero, defined as 0.00 K on the Kelvin scale, an absolute ...
Link: https://en.wikipedia.org/wiki/Cold"
cold,"It would contrast starkly with the ""hot"" fusion that is known to take place naturally within stars and artificially in hydrogen bombs and prototype fusion ...
Link: https://en.wikipedia.org/wiki/Cold_fusion"
cold,"Band members · Scooter Ward – lead vocals, keyboards, rhythm guitar (1986–2006, 2009–present) · Lindsay Manfredi – bass (2014–present) · Tony Kruszka – drums ( ...
Link: https://en.wikipedia.org/wiki/Cold_(band)"
cold,"Cold Mountain (film) ... Cold Mountain is a 2003 epic period war drama film written and directed by Anthony Minghella. The film is based on the bestselling 1997 ...
Link: https://en.wikipedia.org/wiki/Cold_Mountain_(film)"
cold,"Cold front ... For the period of intensely cold and dry weather, see Cold wave. For other uses, see Cold Front. A cold front is the leading edge of a cooler mass ...
Link: https://en.wikipedia.org/wiki/Cold_front"
cold,"Cold dark matter (CDM) is a hypothetical type of dark matter. According to the current standard model of cosmology, Lambda-CDM model, approximately 27% of the ...
Link: https://en.wikipedia.org/wiki/Cold_dark_matter"
cold,"a political rivalry in the Arab world from the early 1950s to the late 1970s and a part of the wider Cold War.
Link: https://en.wikipedia.org/wiki/Arab_Cold_War"
cold,"heightened geopolitical tensions in the 21st century between usually, on one side, the United States and, on the other, either China or Russia.
Link: https://en.wikipedia.org/wiki/Second_Cold_War"
sore throat,"Causes · viral infections · group A streptococcal infection (GAS) bacterial infection · pharyngitis (inflammation of the throat) · tonsillitis (inflammation of ...
Link: https://en.wikipedia.org/wiki/Sore_throat"
sore throat,"Sore Throat were a British crust punk band formed in Huddersfield in 1987. ... They are known for being one of the earliest exponents of the grindcore subgenre ...
Link: https://en.wikipedia.org/wiki/Sore_Throat_(band)"
sore throat,"Streptococcal pharyngitis, also known as streptococcal sore throat (strep throat), is pharyngitis caused by Streptococcus pyogenes, a gram-positive, ...
Link: https://en.wikipedia.org/wiki/Streptococcal_pharyngitis"
sore throat,"Pharyngitis is inflammation of the back of the throat, known as the pharynx. It typically results in a sore throat and fever. Other symptoms may include a ...
Link: https://en.wikipedia.org/wiki/Pharyngitis"
sore throat,"A throat lozenge (also known as a cough drop, sore throat sweet, troche, cachou, pastille or cough sweet) is a small, typically medicated tablet
Link: https://en.wikipedia.org/wiki/Throat_lozenge"
sore throat,"Sore throat, fever, barking cough · Myocarditis, Peripheral neuropathy, Proteinuria · 2–5 days post-exposure · Corynebacterium diphtheriae (spread by direct ...
Link: https://en.wikipedia.org/wiki/Diphtheria"
sore throat,"Death to Capitalist Hardcore is an EP by English grindcore band Sore Throat. It was originally released on 7"" vinyl by Acid Rain Records in early 1988 to a ...
Link: https://en.wikipedia.org/wiki/Death_to_Capitalist_Hardcore"
sore throat,"Throat irritation · Common cold · COVID 19 · Allergy · Laryngitis · Pharyngitis · Epiglottitis · Post-nasal drip · Strep throat.
Link: https://en.wikipedia.org/wiki/Throat_irritation"
sore throat,"The Centor criteria are a set of criteria which may be used to identify the likelihood of a bacterial infection in patients complaining of a sore throat.
Link: https://en.wikipedia.org/wiki/Centor_criteria"
sore throat,"... sore throat, pain with swallowing, and fever. Strep throat does not usually cause a runny nose, voice changes, or cough. Pain and pressure ...
Link: https://en.wikipedia.org/wiki/Upper_respiratory_tract_infection"
flu,"Influenza, commonly known as the flu, is an infectious disease caused by influenza viruses. Symptoms range from mild to severe and often include fever, ...
Link: https://en.wikipedia.org/wiki/Influenza"
flu,"Spanish flu was an exceptionally deadly global influenza pandemic caused by the H1N1 subtype of the influenza A virus.
Link: https://en.wikipedia.org/wiki/Spanish_flu"
flu,"The 2009 H1N1 flu pandemic is estimated to have actually caused about 284,000 (range from 150,000 to 575,000) excess deaths by the WHO-USCDC study and 148,000– ...
Link: https://en.wikipedia.org/wiki/2009_swine_flu_pandemic"
flu,"Influenza activity can sometimes be predicted and even tracked geographically. While the beginning of major flu activity in each season varies by location, in ...
Link: https://en.wikipedia.org/wiki/Flu_season"
flu,"Google Flu Trends ... Google Flu Trends (GFT) was a web service operated by Google. It provided estimates of influenza activity for more than 25 countries. By ...
Link: https://en.wikipedia.org/wiki/Google_Flu_Trends"
flu,"This article is about influenza viruses in pigs. For the 2009 outbreak originating in Mexico, see 2009 swine flu pandemic. For the 2009 human virus, see ...
Link: https://en.wikipedia.org/wiki/Swine_influenza"
flu,"Hong Kong flu ... The Hong Kong flu, also known as the 1968 flu pandemic, was a flu pandemic that occurred in 1968 and 1969 and which killed between one and four ...
Link: https://en.wikipedia.org/wiki/Hong_Kong_flu"
flu,"Influenza vaccines, colloquially known as flu shots or the flu jab, are vaccines that protect against infection by influenza viruses.
Link: https://en.wikipedia.org/wiki/Influenza_vaccine"
flu,"The 2009 swine flu pandemic resulted in under 300,000 deaths and is considered relatively mild. These pandemics occur irregularly. Influenza ward at Walter Reed ...
Link: https://en.wikipedia.org/wiki/Influenza_pandemic"
flu,"Influenza A virus subtype H5N1 (A/H5N1) is a subtype of the influenza A virus, which causes influenza (flu), predominantly in birds.
Link: https://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H5N1"
